Date;IBOXX EURO CORPORATES - Tot. Rtn Idx Today;EURO STOXX 50 - TOT RETURN IND
2001-02-01;103.598;987.2
2001-03-01;103.967;898.27
2001-04-01;104.782;879.8
2001-05-01;104.136;952.67
2001-06-01;105.405;936.8
2001-07-01;105.723;915.53
2001-08-01;107.33;870.97
2001-09-01;108.441;787.16
2001-10-01;107.613;684.08
2001-11-01;110.527;748.48
2001-12-01;110.272;777.78
2002-01-01;109.41;812.06
2002-02-01;109.896;786.59
2002-03-01;109.676;778.61
2002-04-01;109.458;808.82
2002-05-01;110.115;766.78
2002-06-01;110.345;732.95
2002-07-01;110.949;681.44
2002-08-01;112.051;556.96
2002-09-01;113.427;576.23
2002-10-01;114.924;494.87
2002-11-01;113.918;543.44
2002-12-01;115.867;581.81
2003-01-01;118.15;521.95
2003-02-01;119.582;497.49
2003-03-01;120.817;469.37
2003-04-01;120.74;453.69
2003-05-01;122.217;513.52
2003-06-01;124.775;531.09
2003-07-01;125.371;529.32
2003-08-01;123.665;555.97
2003-09-01;124.529;583.99
2003-10-01;126.562;547.69
2003-11-01;125.448;591.67
2003-12-01;125.196;601.33
2004-01-01;126.969;620.71
2004-02-01;127.514;642.69
2004-03-01;129.274;657.25
2004-04-01;130.388;635.87
2004-05-01;129.746;637.74
2004-06-01;129.065;622.39
2004-07-01;129.83;646.92
2004-08-01;130.973;622.55
2004-09-01;132.908;622.44
2004-10-01;133.514;646.61
2004-11-01;134.771;655.71
2004-12-01;136.185;674.88
2005-01-01;136.917;688.4
2005-02-01;138.479;698.36
2005-03-01;138.058;715.5
2005-04-01;138.188;711.71
2005-05-01;139.462;692.57
2005-06-01;141.157;741.03
2005-07-01;142.272;763.75
2005-08-01;141.751;790.95
2005-09-01;143.667;783.37
2005-10-01;143.274;823.24
2005-11-01;141.541;791.59
2005-12-01;142.041;837.8
2006-01-01;142.373;862.7
2006-02-01;141.45;893.53
2006-03-01;141.634;912.33
2006-04-01;140.252;930.7
2006-05-01;139.662;924.38
2006-06-01;139.94;890.33
2006-07-01;139.369;899.3
2006-08-01;140.88;895
2006-09-01;142.457;940.56
2006-10-01;142.86;958.29
2006-11-01;143.715;989.55
2006-12-01;144.497;971.6
2007-01-01;142.925;1018.02
2007-02-01;143.075;1042.19
2007-03-01;144.494;997.64
2007-04-01;143.918;1037.34
2007-05-01;143.975;1093.88
2007-06-01;142.624;1152.79
2007-07-01;142.201;1135.03
2007-08-01;142.565;1077.1
2007-09-01;143.069;1093.53
2007-10-01;143.101;1122.46
2007-11-01;144.219;1125.23
2007-12-01;143.236;1116.68
2008-01-01;142.615;1123.96
2008-02-01;144.766;989.67
2008-03-01;144.674;940.65
2008-04-01;141.704;961
2008-05-01;143.467;986.98
2008-06-01;142.482;981.42
2008-07-01;140.502;870.25
2008-08-01;142.327;877.45
2008-09-01;143.681;891.06
2008-10-01;136.058;813.8
2008-11-01;133.205;693.22
2008-12-01;135.927;611.18
2009-01-01;136.917;653.96
2009-02-01;136.988;589.36
2009-03-01;136.12;504.72
2009-04-01;135.822;562.65
2009-05-01;140.277;643.09
2009-06-01;143.868;702.11
2009-07-01;147.158;680.3
2009-08-01;152.416;743.65
2009-09-01;154.147;755.89
2009-10-01;156.552;782.87
2009-11-01;157.752;770.27
2009-12-01;159.088;803.61
2010-01-01;158.857;831.03
2010-02-01;161.467;784.1
2010-03-01;162.503;778.54
2010-04-01;164.173;836.84
2010-05-01;165.105;796.01
2010-06-01;164.111;751.65
2010-07-01;164.478;728.46
2010-08-01;166.626;817.22
2010-09-01;169.263;787.19
2010-10-01;169.242;792.93
2010-11-01;169.416;823.74
2010-12-01;166.265;794.08
2011-01-01;166.368;828.82
2011-02-01;165.566;879.89
2011-03-01;166.984;873.23
2011-04-01;166.293;867.79
2011-05-01;168.01;887.53
2011-06-01;169.712;851.49
2011-07-01;169.008;868.11
2011-08-01;171.504;784.56
2011-09-01;169.601;697.89
2011-10-01;167.003;649.38
2011-11-01;170.559;686.82
2011-12-01;165.728;706.29
2012-01-01;169.224;724.37
2012-02-01;174.237;757.91
2012-03-01;177.29;782.06
2012-04-01;178.834;768.3
2012-05-01;179.098;715.57
2012-06-01;179.495;655.47
2012-07-01;179.027;729.38
2012-08-01;183.139;744.17
2012-09-01;185.391;785.91
2012-10-01;186.548;800.18
2012-11-01;188.898;812.2
2012-12-01;190.405;828.43
2013-01-01;192.219;846.53
2013-02-01;190.035;873.18
2013-03-01;192.529;843.31
2013-04-01;193.366;846.5
2013-05-01;196.01;882.72
2013-06-01;195.612;907.93
2013-07-01;192.474;868.99
2013-08-01;194.138;932.35
2013-09-01;193.477;921.19
2013-10-01;194.676;975.79
2013-11-01;197.008;1016.36
2013-12-01;197.398;1027.08
2014-01-01;196.518;1038.99
2014-02-01;199.2;993.06
2014-03-01;200.312;1023.46
2014-04-01;201.083;1069.3
2014-05-01;202.996;1078.66
2014-06-01;204.84;1114.38
2014-07-01;206.171;1119.8
2014-08-01;207.086;1057.43
2014-09-01;209.569;1093.03
2014-10-01;210.076;1101.76
2014-11-01;210.713;1064.44
2014-12-01;211.687;1118.07
2015-01-01;212.701;1090.25
2015-02-01;214.488;1170.27
2015-03-01;215.996;1247.27
2015-04-01;215.731;1291.76
2015-05-01;214.584;1263.28
2015-06-01;213.415;1268.43
2015-07-01;209.324;1243.14
2015-08-01;211.926;1294.05
2015-09-01;210.015;1135.73
2015-10-01;209.12;1094.47
2015-11-01;211.565;1226.25
2015-12-01;213.271;1244.34
2016-01-01;211.288;1169.64
2016-02-01;212.282;1083.95
2016-03-01;213.408;1075.38
2016-04-01;216.559;1060.95
2016-05-01;217.168;1100.11
2016-06-01;217.889;1117.94
2016-07-01;220.346;1065.4
2016-08-01;223.637;1098.07
2016-09-01;224.276;1117.47
2016-10-01;224.064;1112.14
2016-11-01;222.119;1122.46
2016-12-01;219.352;1127.27
2017-01-01;221.267;1231.79
2017-02-01;219.701;1214.8
2017-03-01;221.825;1265.79
2017-04-01;221.826;1300.27
2017-05-01;222.97;1337.11
2017-06-01;223.739;1361.53
2017-07-01;222.601;1335.12
2017-08-01;224.884;1330.88
2017-09-01;225.439;1319.43
2017-10-01;225.104;1381.84
2017-11-01;227.692;1419.34
2017-12-01;227.772;1355.31
2018-01-01;226.521;1348.12
2018-02-01;225.944;1379.56
2018-03-01;225.87;1311.16
2018-04-01;225.604;1298.04
2018-05-01;225.691;1375.54
2018-06-01;224.874;1365.2
2018-07-01;224.992;1335.31
2018-08-01;225.345;1391.4
2018-09-01;225.694;1346.96
2018-10-01;225.108;1356.22
2018-11-01;224.572;1274.3
2018-12-01;223.219;1279.2
2019-01-01;223.605;1196.47
2019-02-01;226.173;1267.9
2019-03-01;227.695;1324.61
2019-04-01;230.769;1357.07
2019-05-01;232.477;1417.04
2019-06-01;232.144;1352.69
2019-07-01;236.334;1435.63
2019-08-01;239.242;1434.58
2019-09-01;240.819;1412.3
2019-10-01;239.044;1449.29
2019-11-01;238.345;1494.56
2019-12-01;237.811;1497.24
2020-01-01;237.671;1547.04
2020-02-01;240.475;1514.89
2020-03-01;239.54;1383.37
2020-04-01;222.911;1112.02
2020-05-01;231.25;1218.74
2020-06-01;231.403;1290.58
2020-07-01;234.219;1359.55
2020-08-01;238.291;1372.46
2020-09-01;238.843;1386.36
2020-10-01;239.698;1353.08
